alpha=0.05, K=5, t=3min
Loss: 1410.5693839788437	Valid acc: 60.16%	Test acc: 58.88%
Loss: 1366.033847630024	Valid acc: 61.44%	Test acc: 59.74%
Loss: 1334.695911347866	Valid acc: 61.92%	Test acc: 60.25%
Loss: 1308.3090786337852	Valid acc: 62.72%	Test acc: 60.58%
Loss: 1288.8273217082024	Valid acc: 63.06%	Test acc: 61.26%
Loss: 1270.3601388931274	Valid acc: 63.36%	Test acc: 61.38%
Loss: 1255.4881135821342	Valid acc: 64.17%	Test acc: 62.00%
Loss: 1241.7630739808083	Valid acc: 64.36%	Test acc: 62.18%
Loss: 1230.1778215169907	Valid acc: 64.34%	Test acc: 62.07%
Loss: 1220.5519354343414	Valid acc: 64.50%	Test acc: 62.22%
Loss: 1211.9645322561264	Valid acc: 64.45%	Test acc: 62.37%
Loss: 1203.5451212525368	Valid acc: 64.69%	Test acc: 62.64%
Loss: 1195.8934338092804	Valid acc: 64.13%	Test acc: 62.18%
Loss: 1188.9547530412674	Valid acc: 64.74%	Test acc: 62.67%
Loss: 1182.714916050434	Valid acc: 64.65%	Test acc: 62.56%
Loss: 1178.013920724392	Valid acc: 64.27%	Test acc: 62.34%
Loss: 1172.4258486032486	Valid acc: 64.63%	Test acc: 62.56%
Loss: 1167.5591490864754	Valid acc: 64.73%	Test acc: 62.52%
Loss: 1162.8177503943443	Valid acc: 64.81%	Test acc: 62.68%
Loss: 1158.2923040390015	Valid acc: 65.09%	Test acc: 62.91%
Loss: 1155.8514977097511	Valid acc: 65.06%	Test acc: 62.76%
Loss: 1150.546348810196	Valid acc: 65.28%	Test acc: 63.04%
Loss: 1147.0951306819916	Valid acc: 64.72%	Test acc: 62.53%
Loss: 1144.5702685117722	Valid acc: 65.04%	Test acc: 62.83%
Loss: 1140.5785180926323	Valid acc: 64.94%	Test acc: 62.75%
Loss: 1138.5736481547356	Valid acc: 64.98%	Test acc: 62.74%
Loss: 1134.7068747282028	Valid acc: 65.01%	Test acc: 62.70%
Loss: 1132.3460884690285	Valid acc: 65.17%	Test acc: 62.98%
Loss: 1128.6138853430748	Valid acc: 65.59%	Test acc: 63.15%
Loss: 1126.319381982088	Valid acc: 65.45%	Test acc: 63.04%
Loss: 1124.8878368139267	Valid acc: 65.22%	Test acc: 62.88%
Loss: 1120.5418392419815	Valid acc: 65.13%	Test acc: 62.71%
Loss: 1120.4069187939167	Valid acc: 65.62%	Test acc: 63.20%
Loss: 1117.451530635357	Valid acc: 65.41%	Test acc: 62.85%
Loss: 1115.5443971455097	Valid acc: 65.65%	Test acc: 63.12%
Loss: 1112.5840156674385	Valid acc: 65.43%	Test acc: 62.93%
Loss: 1111.8434860408306	Valid acc: 65.75%	Test acc: 63.40%
Loss: 1109.5588281154633	Valid acc: 65.72%	Test acc: 63.02%
Best epoch: 38
Valid acc: 65.75%
Test acc: 63.40%

alpha=0.1, K=5, t=3min
Loss: 1957.0602105855942	Valid acc: 52.38%	Test acc: 51.28%
Loss: 1640.2166937589645	Valid acc: 55.39%	Test acc: 54.12%
Loss: 1557.9772934913635	Valid acc: 56.95%	Test acc: 55.53%
Loss: 1508.365533053875	Valid acc: 58.26%	Test acc: 56.68%
Loss: 1473.0239416360855	Valid acc: 59.08%	Test acc: 57.46%
Loss: 1444.1930773854256	Valid acc: 59.44%	Test acc: 57.94%
Loss: 1422.9163464307785	Valid acc: 60.13%	Test acc: 58.46%
Loss: 1403.169358253479	Valid acc: 59.78%	Test acc: 58.30%
Loss: 1388.0223248004913	Valid acc: 60.18%	Test acc: 58.55%
Loss: 1373.6304666996002	Valid acc: 60.54%	Test acc: 58.75%
Loss: 1361.7076268196106	Valid acc: 60.54%	Test acc: 58.86%
Loss: 1351.0145728588104	Valid acc: 60.88%	Test acc: 59.11%
Loss: 1342.5328856110573	Valid acc: 61.21%	Test acc: 59.52%
Loss: 1333.8345022797585	Valid acc: 60.87%	Test acc: 59.14%
Loss: 1325.870894908905	Valid acc: 61.29%	Test acc: 59.47%
Loss: 1318.3861591219902	Valid acc: 61.45%	Test acc: 59.65%
Loss: 1311.743496954441	Valid acc: 62.07%	Test acc: 59.98%
Loss: 1305.5680066347122	Valid acc: 61.55%	Test acc: 59.82%
Loss: 1298.9650036096573	Valid acc: 61.72%	Test acc: 59.75%
Loss: 1293.8560146689415	Valid acc: 61.67%	Test acc: 59.75%
Loss: 1288.5806015133858	Valid acc: 61.77%	Test acc: 59.93%
Loss: 1285.114205479622	Valid acc: 61.67%	Test acc: 59.85%
Loss: 1279.8027003407478	Valid acc: 61.75%	Test acc: 59.69%
Loss: 1275.8890844583511	Valid acc: 61.64%	Test acc: 59.78%
Loss: 1271.3956617116928	Valid acc: 61.79%	Test acc: 60.01%
Loss: 1267.7810888886452	Valid acc: 62.04%	Test acc: 60.12%
Loss: 1264.1294907331467	Valid acc: 62.23%	Test acc: 60.09%
Loss: 1260.9595682024956	Valid acc: 62.02%	Test acc: 60.06%
Loss: 1257.2968882322311	Valid acc: 62.04%	Test acc: 60.04%
Loss: 1255.042121887207	Valid acc: 62.31%	Test acc: 60.23%
Loss: 1252.1948484182358	Valid acc: 62.58%	Test acc: 60.55%
Loss: 1249.0348871946335	Valid acc: 62.33%	Test acc: 60.32%
Loss: 1245.3354910612106	Valid acc: 62.52%	Test acc: 60.31%
Loss: 1242.546425640583	Valid acc: 62.23%	Test acc: 60.08%
Loss: 1240.1616699695587	Valid acc: 62.26%	Test acc: 60.27%
Loss: 1238.1345411539078	Valid acc: 62.53%	Test acc: 60.58%
Loss: 1236.3864579200745	Valid acc: 62.94%	Test acc: 60.90%
Loss: 1233.7235625982285	Valid acc: 62.55%	Test acc: 60.65%
Loss: 1232.6393846273422	Valid acc: 62.87%	Test acc: 60.80%
Loss: 1230.784244120121	Valid acc: 62.52%	Test acc: 60.60%
Best epoch: 36
Valid acc: 62.94%
Test acc: 60.90%

alpha=0.1, K=10, t=4.25min
Loss: 1787.7649545669556	Valid acc: 56.82%	Test acc: 55.74%
Loss: 1479.1895073652267	Valid acc: 58.99%	Test acc: 57.87%
Loss: 1406.8202098608017	Valid acc: 60.46%	Test acc: 59.07%
Loss: 1362.6685153841972	Valid acc: 61.97%	Test acc: 60.31%
Loss: 1331.2882686257362	Valid acc: 61.82%	Test acc: 60.32%
Loss: 1305.7224258184433	Valid acc: 62.90%	Test acc: 61.03%
Loss: 1285.189935863018	Valid acc: 63.36%	Test acc: 61.58%
Loss: 1266.8971374034882	Valid acc: 63.93%	Test acc: 61.96%
Loss: 1251.6719647049904	Valid acc: 64.50%	Test acc: 62.51%
Loss: 1238.608524799347	Valid acc: 64.43%	Test acc: 62.38%
Loss: 1226.535993874073	Valid acc: 64.46%	Test acc: 62.50%
Loss: 1216.7335174679756	Valid acc: 64.64%	Test acc: 62.51%
Loss: 1208.3511402010918	Valid acc: 64.35%	Test acc: 62.34%
Loss: 1199.4858563542366	Valid acc: 64.70%	Test acc: 62.73%
Loss: 1192.4946575164795	Valid acc: 64.17%	Test acc: 62.19%
Loss: 1186.4315577745438	Valid acc: 64.98%	Test acc: 62.79%
Loss: 1180.0489948391914	Valid acc: 64.49%	Test acc: 62.49%
Loss: 1174.7013411521912	Valid acc: 64.96%	Test acc: 62.71%
Loss: 1169.7161973714828	Valid acc: 64.95%	Test acc: 62.86%
Loss: 1164.549251139164	Valid acc: 64.84%	Test acc: 62.65%
Loss: 1159.575977385044	Valid acc: 65.02%	Test acc: 62.77%
Loss: 1156.1665233969688	Valid acc: 65.09%	Test acc: 62.76%
Loss: 1151.2616056799889	Valid acc: 65.52%	Test acc: 63.11%
Loss: 1147.2644488811493	Valid acc: 65.05%	Test acc: 62.83%
Loss: 1144.7823351621628	Valid acc: 65.43%	Test acc: 63.05%
Loss: 1140.6621496677399	Valid acc: 64.95%	Test acc: 62.82%
Loss: 1138.0771145224571	Valid acc: 65.01%	Test acc: 62.71%
Loss: 1135.4456042647362	Valid acc: 65.55%	Test acc: 63.14%
Loss: 1131.8612128198147	Valid acc: 65.27%	Test acc: 62.94%
Loss: 1129.9879318475723	Valid acc: 65.61%	Test acc: 63.14%
Loss: 1127.1334490180016	Valid acc: 65.34%	Test acc: 62.86%
Loss: 1124.1785427331924	Valid acc: 65.60%	Test acc: 63.13%
Loss: 1121.8952839970589	Valid acc: 65.64%	Test acc: 63.20%
Loss: 1118.6758520305157	Valid acc: 65.92%	Test acc: 63.34%
Loss: 1117.5961975455284	Valid acc: 65.67%	Test acc: 63.21%
Loss: 1114.5301058590412	Valid acc: 65.80%	Test acc: 63.31%
Loss: 1112.2015507519245	Valid acc: 65.68%	Test acc: 63.12%
Loss: 1110.9283241331577	Valid acc: 65.66%	Test acc: 63.10%
Loss: 1108.3732282221317	Valid acc: 65.75%	Test acc: 63.23%
Loss: 1107.1740392148495	Valid acc: 65.74%	Test acc: 63.27%
Best epoch: 33
Valid acc: 65.92%
Test acc: 63.34%

alpha=0.1, K=20, t=6.75min
Loss: 1685.1710436344147	Valid acc: 59.29%	Test acc: 58.29%
Loss: 1384.8309866189957	Valid acc: 61.66%	Test acc: 60.36%
Loss: 1318.6241513490677	Valid acc: 63.41%	Test acc: 61.69%
Loss: 1278.560638487339	Valid acc: 64.58%	Test acc: 62.57%
Loss: 1250.153820157051	Valid acc: 65.13%	Test acc: 62.75%
Loss: 1227.8449305295944	Valid acc: 65.64%	Test acc: 63.16%
Loss: 1208.7326810359955	Valid acc: 65.95%	Test acc: 63.42%
Loss: 1191.7967790961266	Valid acc: 66.49%	Test acc: 63.79%
Loss: 1177.9023091197014	Valid acc: 67.00%	Test acc: 64.14%
Loss: 1164.0303264260292	Valid acc: 67.32%	Test acc: 64.57%
Loss: 1152.4624882936478	Valid acc: 67.03%	Test acc: 64.19%
